Date,Simulated (Max Sharpe Ratio),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2023-05-26,1156784.987295234,1235145.0386179115,951155.0476047286,1263031.4903861461,1196158.9874644778
2023-05-30,1156482.9916638182,1232995.710929689,942123.1679278906,1252414.0387676626,1192034.1278891128
2023-05-31,1145921.067699218,1219112.6031851508,940166.804951251,1235406.8070747282,1182585.3313602686
2023-06-01,1159342.2000316444,1233769.8592717948,947128.9323238862,1256868.2250955503,1195634.2982965168
2023-06-02,1176784.229381143,1256462.1955938712,963439.616835198,1279626.7105157413,1215665.837348866
2023-06-05,1169701.1644427318,1244751.982881691,963469.3364074032,1269943.6082334123,1207902.7223053542
2023-06-06,1177833.7907049132,1252872.3902408003,957793.038892835,1284161.0917865003,1212231.8174318078
2023-06-07,1186982.1213386527,1262401.81898843,962804.8668802843,1294147.3362422092,1220319.169104273
2023-06-08,1189587.874472863,1265563.387621756,970696.5468830774,1290424.0745780775,1224444.035704093
2023-06-09,1189281.1926857927,1265190.2247641466,968274.7083127456,1292327.7053744216,1223791.8634205058
2023-06-12,1197171.1813309875,1279006.439420129,961238.2106450399,1300039.9040122142,1232674.3398534758
2023-06-13,1201943.2041139482,1289371.471074162,958546.3365557874,1305707.3535276048,1239981.4897198277
2023-06-14,1196988.5103420736,1287715.7090189436,953609.3992582571,1299894.9733308996,1238469.0323846603
2023-06-15,1211410.6276368084,1301822.2941436428,961027.5729069046,1315023.3680907898,1252846.5207503338
2023-06-16,1209340.6575524274,1299503.8737657587,960098.3135744998,1311381.190647338,1252563.514521005
2023-06-20,1196840.4395062488,1284707.9531620264,953334.3474534886,1306506.2259438434,1240219.670153553
2023-06-21,1195471.8279154708,1277368.4109663644,963183.2033746856,1313219.8672360783,1236568.0646821945
2023-06-22,1192573.6185306988,1276708.7752803783,967378.5252774371,1305767.3454714417,1236360.418951475
2023-06-23,1183519.3322867767,1268346.7114058703,963983.8669426512,1301328.4675022585,1228934.3366816184
2023-06-26,1188001.493685909,1272781.213399535,960815.4347115979,1302124.2018008316,1231469.723601479
2023-06-27,1200028.8073079404,1289865.1093440766,961565.0074218521,1311491.1952256418,1243651.296160444
2023-06-28,1199372.206546144,1288344.2020623754,960130.2228742352,1308575.467036852,1241369.8831867345
2023-06-29,1210562.3178630362,1297453.6935361354,970838.420006456,1318869.2615152115,1250081.2426786977
2023-06-30,1220254.3002912786,1308776.7936858614,980470.13886359,1327421.764029159,1261176.5448799876
2023-07-03,1223376.4708664794,1312002.7772380498,978923.9486523675,1330579.7583759583,1263032.4968743022
2023-07-05,1216019.745587784,1301320.4337591208,976379.0900109136,1320332.47071181,1254708.622401302
2023-07-06,1199969.6314464472,1288072.3918588106,957618.8250872717,1310190.4499767898,1242222.7633082622
2023-07-07,1199844.239925355,1287320.1214837874,947113.7776281459,1308144.4120254954,1238734.0585161347
2023-07-10,1209254.2849957685,1300292.0753526865,956693.6752954196,1319444.9391389308,1248708.9011033608
2023-07-11,1220631.3761680352,1311497.6808215207,961062.3550252026,1331602.4483778963,1258095.2415094904
2023-07-12,1222098.9084840482,1317608.4920892043,957458.9270285828,1329321.244931667,1262468.9690246433
2023-07-13,1228022.6498182542,1326620.7477418324,951477.7791324271,1336801.7058001547,1268878.7054562331
2023-07-14,1213582.9348252201,1317499.2984125996,943137.2017736841,1331417.4173940597,1261660.8580496537
